	superkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	tribe	genus	subgenus	species group	species	subspecies
585	2.0	1224.0		1236.0		91347.0		1903414.0			583.0			585.0	
587	2.0	1224.0		1236.0		91347.0		1903414.0			586.0			587.0	
588	2.0	1224.0		1236.0		91347.0		1903414.0			586.0			588.0	
614	2.0	1224.0		1236.0		91347.0		1903411.0			613.0			614.0	
615	2.0	1224.0		1236.0		91347.0		1903411.0			613.0			615.0	
618	2.0	1224.0		1236.0		91347.0		1903411.0			613.0			618.0	
621	2.0	1224.0		1236.0		91347.0		543.0			620.0			621.0	
622	2.0	1224.0		1236.0		91347.0		543.0			620.0			622.0	
623	2.0	1224.0		1236.0		91347.0		543.0			620.0			623.0	
624	2.0	1224.0		1236.0		91347.0		543.0			620.0			624.0	
628	2.0	1224.0		1236.0		91347.0		1903414.0			626.0			628.0	
630	2.0	1224.0		1236.0		91347.0		1903411.0			629.0			630.0	
631	2.0	1224.0		1236.0		91347.0		1903411.0			629.0			631.0	
632	2.0	1224.0		1236.0		91347.0		1903411.0			629.0		1649845.0	632.0	
633	2.0	1224.0		1236.0		91347.0		1903411.0			629.0		1649845.0	633.0	
634	2.0	1224.0		1236.0		91347.0		1903411.0			629.0			634.0	
636	2.0	1224.0		1236.0		91347.0		1903412.0			635.0			636.0	
638	2.0	1224.0		1236.0		91347.0		1903414.0			637.0			638.0	
644	2.0	1224.0		1236.0		135624.0		84642.0			642.0			644.0	
645	2.0	1224.0		1236.0		135624.0		84642.0			642.0			645.0	
646	2.0	1224.0		1236.0		135624.0		84642.0			642.0			646.0	
648	2.0	1224.0		1236.0		135624.0		84642.0			642.0			648.0	
649	2.0	1224.0		1236.0		135624.0		84642.0			642.0			649.0	
650	2.0	1224.0		1236.0		135624.0		84642.0			642.0			650.0	
651	2.0	1224.0		1236.0		135624.0		84642.0			642.0			651.0	
652	2.0	1224.0		1236.0		135624.0		84642.0			642.0			652.0	
654	2.0	1224.0		1236.0		135624.0		84642.0			642.0			654.0	
656	2.0	1224.0		1236.0		135624.0		84642.0			642.0			656.0	
659	2.0	1224.0		1236.0		135623.0		641.0			657.0			659.0	
661	2.0	1224.0		1236.0		135623.0		641.0			657.0			661.0	
663	2.0	1224.0		1236.0		135623.0		641.0			662.0		717610.0	663.0	
666	2.0	1224.0		1236.0		135623.0		641.0			662.0			666.0	
668	2.0	1224.0		1236.0		135623.0		641.0			511678.0			668.0	
669	2.0	1224.0		1236.0		135623.0		641.0			662.0		717610.0	669.0	
670	2.0	1224.0		1236.0		135623.0		641.0			662.0		717610.0	670.0	
671	2.0	1224.0		1236.0		135623.0		641.0			662.0			671.0	
672	2.0	1224.0		1236.0		135623.0		641.0			662.0			672.0	
673	2.0	1224.0		1236.0		135623.0		641.0			246861.0			673.0	
674	2.0	1224.0		1236.0		135623.0		641.0			662.0			674.0	
676	2.0	1224.0		1236.0		135623.0		641.0			662.0			676.0	
678	2.0	1224.0		1236.0		135623.0		641.0			662.0			678.0	
680	2.0	1224.0		1236.0		135623.0		641.0			662.0		717610.0	680.0	
685	2.0	1224.0		1236.0		135623.0		641.0			662.0			685.0	
688	2.0	1224.0		1236.0		135623.0		641.0			511678.0			688.0	
689	2.0	1224.0		1236.0		135623.0		641.0			662.0			689.0	
691	2.0	1224.0		1236.0		135623.0		641.0			662.0		717610.0	691.0	
693	2.0	1224.0		1236.0		135623.0		641.0			662.0			693.0	
703	2.0	1224.0		1236.0		91347.0					702.0			703.0	
714	2.0	1224.0		1236.0		135625.0		712.0			416916.0			714.0	
715	2.0	1224.0		1236.0		135625.0		712.0			713.0			715.0	
716	2.0	1224.0		1236.0		135625.0		712.0			713.0			716.0	
717	2.0	1224.0		1236.0		135625.0		712.0			713.0			717.0	
718	2.0	1224.0		1236.0		135625.0		712.0			713.0			718.0	
723	2.0	1224.0		1236.0		135625.0		712.0			713.0			723.0	
