	superkingdom	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	tribe	genus	subgenus	species group	species	subspecies	varietas	forma
1212764	Bacteria			Firmicutes		Bacilli		Bacillales		Paenibacillaceae			Paenibacillus			Paenibacillus popilliae			
1212819	Bacteria			Proteobacteria		Betaproteobacteria		Burkholderiales		Burkholderiaceae			Burkholderia		Burkholderia cepacia complex	Burkholderia pyrrocinia			
1212820	Bacteria			Proteobacteria		Gammaproteobacteria		Enterobacterales		Enterobacteriaceae			Citrobacter			Citrobacter sp. L17			
1213187	Viruses									Tolecusatellitidae			Betasatellite			Tobacco leaf chlorosis betasatellite			
1213189	Eukaryota	Fungi		Zoopagomycota	Kickxellomycotina	Harpellomycetes		Harpellales		Legeriomycetaceae			Zancudomyces			Zancudomyces culisetae			
1213198	Viruses			Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Rhabdoviridae			Lyssavirus			Lleida bat lyssavirus			
1213406	Viruses									Geminiviridae			Begomovirus			Jatropha mosaic Nigeria virus			
1213588	Viruses							Ortervirales		Caulimoviridae			Rosadnavirus			Rose yellow vein virus			
1213620	Viruses			Negarnaviricota	Polyploviricotina	Ellioviricetes		Bunyavirales		Phenuiviridae			Phlebovirus			Bhanja virus			
1213859	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales		Glomerellaceae			Colletotrichum			Colletotrichum fructicola			
1214064	Bacteria			Actinobacteria		Actinobacteria		Micrococcales		Promicromonosporaceae						Promicromonosporaceae bacterium W15			
1214065	Bacteria			Proteobacteria		Gammaproteobacteria		Enterobacterales		Enterobacteriaceae						Enterobacteriaceae bacterium B14			
1214066	Archaea			Euryarchaeota		Methanobacteria		Methanobacteriales		Methanobacteriaceae			Methanobrevibacter			Methanobrevibacter boviskoreani			
1214101	Bacteria			Actinobacteria		Actinobacteria		Streptomycetales		Streptomycetaceae			Streptomyces			Streptomyces davaonensis			
1214225	Bacteria			Proteobacteria		Alphaproteobacteria		Rhodospirillales		Acetobacteraceae			Acidocella			Acidocella sp. MX-AZ02			
1214230	Viruses							Picornavirales		Picornaviridae			Gallivirus			Gallivirus A			
