	superkingdom	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	genus	species group	species
36025	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		1156497.0	460521.0		36025.0
36033	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		4893.0	374469.0		36033.0
36035	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		34365.0	36034.0		36035.0
36038	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		115784.0	599802.0		36038.0
36066	2759.0	4751.0	451864.0	5204.0	5302.0	155619.0		36064.0		57201.0	36065.0		36066.0
36075	2759.0	4751.0	451864.0	5204.0	5302.0	155619.0		5303.0		5317.0	5314.0		36075.0
36630	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451871.0	5042.0		1131492.0	5052.0		36630.0
36651	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451871.0	5042.0		1131492.0	5073.0		36651.0
36779	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222544.0	639021.0		81093.0	29849.0		36779.0
36909	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		4893.0	36908.0		36909.0
36911	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		27319.0	36910.0		36911.0
36914	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		766764.0	36913.0		36914.0
37727	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451871.0	5042.0		28568.0	5094.0		37727.0
37769	2759.0	4751.0	451864.0	5204.0	5302.0	155616.0		5234.0		1884633.0	5206.0	1884637.0	37769.0
37998	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222543.0	5125.0		474943.0	1892809.0		37998.0
38006	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222543.0	5125.0		474943.0	5581.0		38006.0
38033	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222544.0	5139.0		35718.0	5149.0		38033.0
38038	2759.0	4751.0	451864.0	4890.0	147538.0	147548.0		5178.0			38037.0		38038.0
38945	2759.0	4751.0	451864.0	5204.0	5302.0	155619.0	452333.0	5338.0		862241.0	38944.0		38945.0
39397	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0			5475.0		39397.0
39416	2759.0	4751.0	451864.0	4890.0	147538.0	147549.0		5185.0		40289.0	36048.0		39416.0
40125	2759.0	4751.0	451864.0	4890.0	147538.0	147541.0	451868.0	92860.0	715340.0	28556.0	33194.0		40125.0
40127	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222544.0	5139.0		5148.0	5140.0		40127.0
40145	2759.0	4751.0	451864.0	5204.0	5302.0	155619.0	452333.0	5338.0		5351.0	40144.0		40145.0
40302	2759.0	4751.0		6029.0					6032.0	27974.0	27977.0		40302.0
40355	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451870.0	34395.0		43219.0	40354.0		40355.0
40382	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451871.0	5042.0		1131492.0	5052.0		40382.0
40492	2759.0	4751.0	451864.0	5204.0	5302.0	155619.0		452342.0		103376.0	5644.0		40492.0
40559	2759.0	4751.0	451864.0	4890.0	147538.0	147548.0		5178.0		28983.0	33196.0		40559.0
41061	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451871.0	5042.0		1131492.0	5052.0		41061.0
41833	2759.0	4751.0		1913637.0	451507.0	2212704.0		1913639.0		1403793.0	64561.0		41833.0
42068	2759.0	4751.0	451864.0	4890.0	451866.0	147553.0		37987.0		44281.0	4753.0		42068.0
42260	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		4893.0	1196389.0		42260.0
42374	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		766764.0	1535326.0		42374.0
42399	2759.0	4751.0		6029.0					6032.0	27974.0	42398.0		42399.0
43049	2759.0	4751.0	451864.0	5204.0	452284.0	452283.0		62916.0		5279.0	13289.0		43049.0
43228	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451870.0	34395.0		43219.0	43220.0		43228.0
43229	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451870.0	34395.0		43219.0	43220.0		43229.0
44070	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		1540145.0	44069.0		44070.0
44093	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		410830.0	229045.0		44093.0
45130	2759.0	4751.0	451864.0	4890.0	147538.0	147541.0	451868.0	92860.0	715340.0	28556.0	33194.0		45130.0
45151	2759.0	4751.0	451864.0	4890.0	147538.0	147541.0	451868.0	92860.0	715340.0	28556.0	5027.0		45151.0
45285	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		4893.0	33170.0		45285.0
45286	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		4893.0	33170.0		45286.0
45354	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		27319.0	36910.0		45354.0
45502	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		766764.0	766759.0		45502.0
45510	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		766764.0	766765.0		45510.0
45511	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		766764.0	766765.0		45511.0
45513	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		766764.0	766733.0		45513.0
45515	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		766764.0	766765.0		45515.0
45535	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		410830.0	410829.0		45535.0
45575	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		410830.0	410829.0		45575.0
45586	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0			5475.0		45586.0
45596	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		766764.0	766765.0		2315449.0
45601	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		410830.0	410829.0		45601.0
45609	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		766764.0	766748.0		45609.0
45794	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		34353.0	45793.0		45794.0
46583	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		766764.0	1539666.0		46583.0
47032	2759.0	4751.0		1913637.0	214504.0	214506.0		36750.0		36751.0	1129544.0		47032.0
48254	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		4893.0	4948.0		48254.0
48490	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222543.0	5125.0		110618.0	5506.0	171627.0	48490.0
49330	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		115784.0	599802.0		49330.0
51453	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222543.0	5125.0		5129.0	5543.0		51453.0
51657	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		4893.0	374468.0		51657.0
51660	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		4893.0	374468.0		51660.0
51914	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		4893.0	374468.0		51914.0
51918	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		115784.0	604195.0		51918.0
52253	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		766764.0	1535326.0		52253.0
52884	2759.0	4751.0	451864.0	4890.0	147538.0	147547.0	388435.0	388450.0	157824.0	48860.0	48861.0		52884.0
53485	2759.0	4751.0	451864.0	4890.0	147538.0	147541.0	451868.0	92860.0	715340.0	28556.0	5027.0		53485.0
53488	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		4893.0	4948.0		53488.0
53685	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		34365.0	29832.0		53685.0
54195	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		44277.0	27308.0		54195.0
54899	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222544.0	5114.0		767018.0	36922.0		54899.0
58627	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		766764.0	4958.0		58627.0
58839	2759.0	4751.0		6029.0					6032.0	36734.0	6033.0		58839.0
60169	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451871.0	5042.0		1131492.0	5073.0		60169.0
60172	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451871.0	5042.0		1131492.0	5073.0		60172.0
61392	2759.0	4751.0		1913638.0	451828.0	2219690.0		4861.0		4862.0	4863.0		61392.0
61418	2759.0	4751.0		1913638.0	451828.0	2219690.0		4861.0		4862.0	61417.0		61418.0
61459	2759.0	4751.0	451864.0	4890.0	147538.0	147541.0					1955842.0		61459.0
63400	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451871.0	33183.0		34384.0	5550.0		63400.0
63402	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451871.0	33183.0		34384.0	1915381.0		63402.0
63405	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451871.0	33183.0		34384.0	34392.0		63405.0
63417	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451871.0	33183.0		34384.0	5550.0		63417.0
63577	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222543.0	5125.0		5129.0	5543.0		63577.0
64495	2759.0	4751.0		1913637.0	451507.0	2212703.0		4827.0	1344963.0	1344955.0	4842.0		64495.0
64517	2759.0	4751.0		4761.0		451435.0		642610.0		1396497.0	64515.0		64517.0
64609	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222543.0	5125.0		110618.0	1079112.0		64609.0
68401	2759.0	4751.0		1913638.0	451828.0	2219690.0		4861.0		4862.0	61417.0		68401.0
68825	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451871.0	5042.0		28568.0	1132856.0		68825.0
70189	2759.0	4751.0		2202805.0	2202806.0	2202807.0		2202808.0		70187.0	70188.0		70189.0
71246	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		4893.0	71245.0		71246.0
71617	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222543.0	5125.0		474942.0	29909.0		71617.0
73501	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222543.0	5125.0		474943.0	45234.0		73501.0
74035	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451871.0	33183.0		34384.0	63399.0		74035.0
75736	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0			75735.0		75736.0
76773	2759.0	4751.0	451864.0	5204.0	452284.0	1538075.0		162474.0		742845.0	55193.0		76773.0
76777	2759.0	4751.0	451864.0	5204.0	452284.0	1538075.0		162474.0		742845.0	55193.0		76777.0
77020	2759.0	4751.0	451864.0	5204.0	452284.0	1538075.0		162474.0		742845.0	55193.0		77020.0
77105	2759.0	4751.0	451864.0	4890.0	147538.0	147548.0		5178.0		28983.0	5179.0		77105.0
78579	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222544.0	5139.0		35718.0	1920207.0		78579.0
78898	2759.0	4751.0		1913637.0	1137986.0	2212732.0		214503.0		4854.0	4855.0		78898.0
78909	2759.0	4751.0		1913638.0	451827.0	2233521.0		78899.0		78903.0	78908.0		78909.0
78913	2759.0	4751.0		1913638.0	451827.0	2233521.0		78899.0		78904.0	78912.0		78913.0
78917	2759.0	4751.0		1913638.0	451827.0	2233521.0		78899.0		78903.0	78916.0		78917.0
78925	2759.0	4751.0		1913638.0	451828.0	2219692.0		78918.0		78919.0	78924.0		78925.0
79858	2759.0	4751.0	451864.0	4890.0	147538.0	147548.0				34379.0	78156.0		79858.0
80637	2759.0	4751.0	451864.0	5204.0	5302.0	155619.0	452333.0	68889.0	227334.0	80634.0	80635.0		80637.0
80884	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222543.0	1028384.0		681950.0	5455.0		80884.0
82268	2759.0	4751.0		4761.0		451454.0		79272.0			82267.0		82268.0
82508	2759.0	4751.0	451864.0	5204.0	5302.0	155616.0		1851469.0		1759442.0	5552.0		82508.0
84751	2759.0	4751.0	451864.0	5204.0	452284.0	5257.0		5267.0		5268.0	1392992.0		84751.0
84753	2759.0	4751.0	451864.0	5204.0	452284.0	5257.0		5267.0		5268.0	63261.0		84753.0
85929	2759.0	4751.0	451864.0	4890.0	147538.0	147541.0	451867.0	134362.0		93133.0	237179.0		85929.0
85982	2759.0	4751.0	451864.0	5204.0	5302.0	155619.0	452333.0	68889.0	227334.0	389951.0	80744.0		85982.0
86049	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451870.0	34395.0		43219.0	82105.0		86049.0
86056	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451870.0	34395.0		43219.0	5587.0		86056.0
89940	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451870.0	34395.0		43219.0	82105.0		89940.0
91928	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451870.0	34395.0		43219.0	5583.0		91928.0
92637	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222543.0	5125.0		34397.0	5529.0		92637.0
93612	2759.0	4751.0	451864.0	4890.0	147538.0	147541.0	451868.0	92860.0	715340.0	28556.0	91493.0		93612.0
97096	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222545.0	37989.0		42364.0	97095.0		97096.0
100756	2759.0	4751.0	451864.0	5204.0	5302.0	155619.0		452342.0		40458.0	40459.0		100756.0
100816	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222544.0	5139.0			100815.0		100816.0
101028	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222543.0	5125.0		110618.0	5506.0	569360.0	101028.0
101162	2759.0	4751.0	451864.0	4890.0	147538.0	147541.0	451868.0	92860.0	715340.0	28556.0	33194.0		101162.0
101852	2759.0	4751.0	451864.0	4890.0	147538.0	147548.0		5178.0		5181.0	101851.0		101852.0
103449	2759.0	4751.0		6029.0					6036.0	35232.0	35235.0		103449.0
104341	2759.0	4751.0	451864.0	5204.0	5302.0	155619.0		5303.0		2028214.0	83235.0		104341.0
104355	2759.0	4751.0	451864.0	5204.0	5302.0	155619.0		452339.0		452340.0	40443.0		104355.0
104669	2759.0	4751.0	451864.0	5204.0	5302.0	155616.0		5234.0		1884633.0	5206.0		104669.0
109760	2759.0	4751.0		4761.0		451435.0		34478.0		34479.0	4815.0		109760.0
