	superkingdom	phylum	subphylum	class	order	suborder	family	subfamily	genus	subgenus	species
938131	10239.0				28883.0		10699.0		1623281.0		1993860.0
947843	10239.0				28883.0		10662.0	857479.0	140410.0		947843.0
947981	10239.0				28883.0		10699.0				947981.0
948870	10239.0				28883.0		10662.0				948870.0
977801	10239.0				28883.0		10744.0	542836.0			977801.0
977927	10239.0				28883.0		10699.0		187218.0		977927.0
979726	10239.0				28883.0		10744.0	542835.0	542837.0		979726.0
981330	10239.0				28883.0		10699.0				981330.0
984186	10239.0				28883.0		10662.0				984186.0
985782	10239.0						549779.0				985782.0
994672	10239.0						10508.0		10509.0		1986022.0
1005056	10239.0				28883.0		10699.0		1623283.0		1005056.0
1007127	10239.0				28883.0		10662.0	857473.0	1857843.0		1007127.0
1007869	10239.0				28883.0		10662.0				1007869.0
1026955	10239.0				28883.0		10662.0				1026955.0
1051631	10239.0				28883.0		10699.0		1623304.0		1051631.0
1051676	10239.0				28883.0		10662.0				1051676.0
1054480	10239.0				28883.0		10662.0	1198136.0	10663.0		1054480.0
1071503	10239.0				28883.0		10699.0		186764.0		1993867.0
1074044	10239.0						10860.0				1074044.0
1076630	10239.0				28883.0		10699.0		186764.0		1076630.0
1079999	10239.0				28883.0		10662.0	1198136.0			1079999.0
1080237	10239.0				28883.0		10699.0				1080237.0
1090133	10239.0				28883.0		10744.0		186794.0		1090133.0
1091052	10239.0				28883.0		2169529.0	2169530.0	2169534.0		1091052.0
1091556	10239.0				28883.0		10699.0		1623286.0		1091556.0
1100043	10239.0										1100043.0
1105171	10239.0				28883.0		10699.0				1105171.0
1112008	10239.0				28883.0		10699.0		187218.0		1112008.0
1115478	10239.0				28883.0		10699.0	1910976.0	1910991.0		2005699.0
1124654	10239.0				28883.0		10744.0		542960.0		1124654.0
1127357	10239.0				28883.0		10744.0		186794.0		1127357.0
1127514	10239.0				28883.0		10662.0				1127514.0
1129145	10239.0				28883.0		10699.0				1129145.0
1129146	10239.0				28883.0		10699.0		1623287.0		1129146.0
1129147	10239.0				28883.0		10662.0	1198136.0	1985328.0		1985338.0
1129194	10239.0				28883.0		10662.0				1129194.0
1131316	10239.0										1131316.0
1136535	10239.0				28883.0		10744.0		1720323.0		1136535.0
1141136	10239.0				28883.0		10662.0				1141136.0
1141138	10239.0				28883.0		10662.0	1198136.0	1985328.0		1141138.0
1141139	10239.0				28883.0		10744.0	542835.0	542837.0		1141139.0
1141519	10239.0				28883.0		10744.0	542835.0			1141519.0
1141625	10239.0						39733.0				1141625.0
1147042	10239.0				28883.0		10699.0		1623298.0		1147042.0
1147043	10239.0				28883.0		10699.0				1147043.0
1147044	10239.0				28883.0		10699.0		1623298.0		1147044.0
1147140	10239.0				28883.0		10699.0				1147140.0
1147143	10239.0				28883.0		10699.0		2169654.0		1147143.0
1147144	10239.0				28883.0		10699.0				1147144.0
1147145	10239.0				28883.0		10699.0		2169654.0		2169921.0
1147146	10239.0				28883.0		10699.0		186765.0		2169969.0
1147147	10239.0				28883.0		10699.0		2169654.0		2169924.0
1147148	10239.0				28883.0		10699.0		186765.0		2169968.0
