	superkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	tribe	genus	subgenus	species group	species	subspecies
1790137	Bacteria	Bacteroidetes		Flavobacteriia		Flavobacteriales		Flavobacteriaceae			Wenyingzhuangia			Wenyingzhuangia fucanilytica	
1792290	Bacteria	Proteobacteria		Gammaproteobacteria		Oceanospirillales		Oceanospirillaceae			Marinomonas			Marinomonas spartinae	
1792307	Bacteria	Proteobacteria		Alphaproteobacteria		Rhizobiales		Bradyrhizobiaceae			Bosea			Bosea sp. PAMC 26642	
1792309	Bacteria	Bacteroidetes		Flavobacteriia		Flavobacteriales		Flavobacteriaceae			Chryseobacterium			Chryseobacterium sp. FP211-J200	
1792508	Bacteria	Proteobacteria		Alphaproteobacteria		Rhodobacterales		Rhodobacteraceae			Yangia			Yangia sp. CCB-MM3	
1792543	Bacteria	Proteobacteria		Betaproteobacteria		Rhodocyclales		Zoogloeaceae			Thauera			Thauera phenolivorans	
1792834	Bacteria	Proteobacteria		Gammaproteobacteria		Oceanospirillales		Alcanivoracaceae			Marinicella			Marinicella sediminis	
1792835	Bacteria	Actinobacteria		Actinobacteria		Corynebacteriales		Mycobacteriaceae			Mycolicibacter			Mycolicibacter icosiumassiliensis	
1792845	Bacteria	Bacteroidetes		Sphingobacteriia		Sphingobacteriales		Sphingobacteriaceae			Mucilaginibacter			Mucilaginibacter pedocola	
1793160	Bacteria	Actinobacteria		Actinobacteria		Corynebacteriales		Nocardiaceae			Rhodococcus			Rhodococcus sp. SC4	
1793721	Bacteria	Proteobacteria		Gammaproteobacteria		Xanthomonadales		Xanthomonadaceae			Stenotrophomonas			Stenotrophomonas sp. KCTC 12332	
1793726	Bacteria	Firmicutes		Bacilli		Bacillales		Bacillaceae			Halobacillus			Halobacillus sp. KGW1	
1793963	Bacteria	Firmicutes		Bacilli		Bacillales		Bacillaceae			Bacillus			Bacillus nakamurai	
1794912	Bacteria	Firmicutes		Negativicutes		Selenomonadales		Sporomusaceae			Anaerosporomusa			Anaerosporomusa subterranea	
1795043	Bacteria	Proteobacteria		Betaproteobacteria		Burkholderiales		Burkholderiaceae			Burkholderia			Burkholderia sp. PAMC 26561	
1795053	Bacteria	Actinobacteria		Actinobacteria		Micrococcales		Microbacteriaceae			Microbacterium			Microbacterium sp. PAMC 28756	
1795299	Bacteria	Firmicutes		Bacilli		Bacillales		Staphylococcaceae			Staphylococcus			Staphylococcus sp. HMSC58B01	
1795629	Bacteria	Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter sp. BMW17	
1795630	Bacteria	Actinobacteria		Actinobacteria		Micrococcales		Microbacteriaceae			Frondihabitans			Frondihabitans sp. PAMC 28766	
1795631	Bacteria	Proteobacteria		Betaproteobacteria		Burkholderiales		Comamonadaceae			Variovorax			Variovorax sp. PAMC 28711	
1795632	Bacteria	Thermodesulfobacteria		Thermodesulfobacteria		Thermodesulfobacteriales		Thermodesulfobacteriaceae			Thermodesulfatator			Thermodesulfatator autotrophicus	
1795826	Bacteria	Proteobacteria		Betaproteobacteria		Neisseriales		Neisseriaceae			Eikenella			Eikenella sp. NML01-A-086	
1795827	Bacteria	Proteobacteria		Betaproteobacteria		Neisseriales		Neisseriaceae			Eikenella			Eikenella sp. NML02-A-017	
1795828	Bacteria	Proteobacteria		Betaproteobacteria		Neisseriales		Neisseriaceae			Eikenella			Eikenella sp. NML03-A-027	
1795829	Bacteria	Proteobacteria		Betaproteobacteria		Neisseriales		Neisseriaceae			Eikenella			Eikenella sp. NML070372	
1795830	Bacteria	Proteobacteria		Betaproteobacteria		Neisseriales		Neisseriaceae			Eikenella			Eikenella sp. NML080894	
1795831	Bacteria	Proteobacteria		Betaproteobacteria		Neisseriales		Neisseriaceae			Eikenella			Eikenella sp. NML120348	
1795832	Bacteria	Proteobacteria		Betaproteobacteria		Neisseriales		Neisseriaceae			Eikenella			Eikenella sp. NML130454	
1795833	Bacteria	Proteobacteria		Betaproteobacteria		Neisseriales		Neisseriaceae			Eikenella			Eikenella sp. NML97-A-109	
1795834	Bacteria	Proteobacteria		Betaproteobacteria		Neisseriales		Neisseriaceae			Eikenella			Eikenella sp. NML99-0057	
1795874	Bacteria	Proteobacteria		Betaproteobacteria		Burkholderiales		Burkholderiaceae			Burkholderia			Burkholderia sp. PAMC 28687	
1796033	Bacteria	Proteobacteria		Gammaproteobacteria		Pseudomonadales		Pseudomonadaceae			Pseudomonas			Pseudomonas sp. BMS12	
1796497	Bacteria	Proteobacteria		Gammaproteobacteria		Vibrionales		Vibrionaceae			Grimontia			Grimontia celer	
1796606	Bacteria	Proteobacteria		Betaproteobacteria		Burkholderiales		Burkholderiaceae			Cupriavidus			Cupriavidus nantongensis	
1797110	Bacteria	Bacteroidetes		Cytophagia		Cytophagales		Hymenobacteraceae			Pontibacter			Pontibacter sp. S10-8	
1797112	Bacteria	Actinobacteria		Coriobacteriia		Coriobacteriales		Atopobiaceae			Olsenella			Olsenella sp. kh2p3	
1798192	Bacteria	Proteobacteria		Alphaproteobacteria		Rhodospirillales		Rhodospirillaceae			Thalassospira			Thalassospira sp. KO164	
1798803	Bacteria	Firmicutes		Bacilli		Lactobacillales		Carnobacteriaceae			Alkalibacterium			Alkalibacterium sp. 20	
1798804	Bacteria	Proteobacteria		Alphaproteobacteria		Rhizobiales		Rhizobiaceae			Rhizobium			Rhizobium sp. 58	
1798805	Bacteria	Proteobacteria		Alphaproteobacteria		Rhizobiales		Rhizobiaceae			Pararhizobium			Pararhizobium antarcticum	
1799359	Bacteria	Proteobacteria		Gammaproteobacteria		Pseudomonadales		Pseudomonadaceae			Pseudomonas			Pseudomonas sp. HUK17	
1799529	Bacteria	Spirochaetes		Spirochaetia		Leptospirales		Leptospiraceae			Leptospira			Leptospira sp. ZV016	
1799667	Bacteria	Cyanobacteria				Synechococcales		Prochloraceae			Prochlorococcus			Prochlorococcus sp. MIT 1306	
1799789	Bacteria	Proteobacteria		Gammaproteobacteria		Alteromonadales		Alteromonadaceae			Paraglaciecola			Paraglaciecola hydrolytica	
1801628	Bacteria	Cyanobacteria				Synechococcales		Synechococcaceae			Synechococcus			Synechococcus sp. MIT S9504	
1801629	Bacteria	Cyanobacteria				Synechococcales		Synechococcaceae			Synechococcus			Synechococcus sp. MIT S9508	
1801630	Bacteria	Cyanobacteria				Synechococcales		Synechococcaceae			Synechococcus			Synechococcus sp. MIT S9509	
1803372	Bacteria	Bacteroidetes		Saprospiria		Saprospirales		Lewinellaceae			Lewinella			Lewinella sp. 4G2	
1803579	Bacteria	Actinobacteria		Actinobacteria		Corynebacteriales		Nocardiaceae			Rhodococcus			Rhodococcus sp. YH3-3	
1803665	Bacteria	Proteobacteria		Alphaproteobacteria		Rhizobiales		Bradyrhizobiaceae			Bradyrhizobium			Bradyrhizobium stylosanthis	
1804758	Bacteria	Actinobacteria		Actinobacteria		Streptomycetales		Streptomycetaceae			Streptomyces			Streptomyces sp. CB03911	
1804984	Bacteria	Proteobacteria		Betaproteobacteria		Burkholderiales		Burkholderiaceae			Burkholderia			Burkholderia sp. OLGA172	
1805000	Bacteria	Firmicutes		Bacilli		Bacillales					Exiguobacterium			Exiguobacterium sp. KKBO11	
1805001	Bacteria	Proteobacteria		Alphaproteobacteria		Rhizobiales		Rhizobiaceae			Rhizobium			Rhizobium sp. GHKF11	
1805470	Bacteria	Firmicutes		Clostridia		Clostridiales		Clostridiaceae			Clostridium			Clostridium nigeriense	
1805471	Bacteria	Firmicutes		Clostridia		Clostridiales		Clostridiaceae			Clostridium			Clostridium sp. Marseille-P2415	
1805472	Bacteria	Firmicutes		Clostridia		Clostridiales		Clostridiaceae			Clostridium			Clostridium mediterraneense	
1805473	Bacteria	Bacteroidetes		Flavobacteriia		Flavobacteriales		Flavobacteriaceae			Chryseobacterium			Chryseobacterium sp. G972	
1805474	Bacteria	Firmicutes		Bacilli		Bacillales		Bacillaceae			Bacillus			Bacillus mediterraneensis	
1805475	Bacteria	Firmicutes		Bacilli		Bacillales		Bacillaceae			Bacillus			Bacillus massilionigeriensis	
1805476	Bacteria	Firmicutes		Clostridia		Clostridiales		Lachnospiraceae			Blautia			Blautia sp. Marseille-P2398	
1805477	Bacteria	Firmicutes		Clostridia		Clostridiales		Clostridiaceae			Clostridium			Clostridium sp. Marseille-P299	
1805478	Bacteria	Actinobacteria		Coriobacteriia		Coriobacteriales		Atopobiaceae			Olsenella			Olsenella sp. Marseille-P2300	
1805632	Bacteria	Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter sp. SFC	
1805633	Bacteria	Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter sp. SFA	
1805634	Bacteria	Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter sp. SFB	
1805635	Bacteria	Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter sp. SFD	
1805636	Bacteria	Proteobacteria		Gammaproteobacteria		Enterobacterales		Yersiniaceae			Serratia			Serratia sp. 2880STDY5682894	
1805637	Bacteria	Proteobacteria		Gammaproteobacteria		Enterobacterales		Yersiniaceae			Serratia			Serratia sp. 2880STDY5682895	
1805819	Bacteria	Proteobacteria		Gammaproteobacteria		Oceanospirillales		Halomonadaceae			Halomonas			Halomonas sp. ALS9	
1805827	Bacteria	Actinobacteria		Actinobacteria		Corynebacteriales		Nocardiaceae			Rhodococcus			Rhodococcus sp. MTM3W5.2	
1806216	Bacteria	Firmicutes		Bacilli		Bacillales		Bacillaceae			Bacillus			Bacillus sp. RZ2MS9	
